@AK47pfl"
80|86022|2020-07-03|Просто правительство видит в Аэрофлоте большие перспективы и хочет заполучить эту компанию  в большой части, как и Сбербанк
81|86021|2020-07-03|Аэрофлот совсем плох.особенно после гос выкупа. Боинг молодец не дал себя выкупить государству.саазал сам сам все. У нас че то все хилые компании сразу отдаются в кризис правительству😔
82|86020|2020-07-03|Аэрофлот тоже держу.
83|86019|2020-07-03|Зря
84|86018|2020-07-03|Никто не проверил историю до.а зрч.мутные истории у петропавловска
85|86017|2020-07-03|Про Аэрофлот забыл или ты уже ему не радуешься? 🤓
86|86016|2020-07-03|Ага. Но ещё не вечер 🤣
87|86015|2020-07-03|А вот про Петропавловск все стихли;), а я говорил, предупреждал, не бегите эту гадость на хаях
88|86014|2020-07-03|Все верили в петропавловск накупили и сразу скинули в минусах.никто не верил в майл а он рванул.выводы делай то что обратно ожиданиям толпы
89|86013|2020-07-03|Лучше синица в руке чем журавль в жопе) я много чему радуюсь и норке и fxgd и Русалу и Яндексу радовался (за 2 недельки 21 проц на нем поднял )🤣
90|86012|2020-07-03|Si 72000 уже пробили
91|86011|2020-07-03|Никого не призываю к действию)
92|86010|2020-07-03|Это мое делетантское мнение
93|86009|2020-07-03|Не шарю
94|86008|2020-07-03|Хз
95|86007|2020-07-03|А в понедельник перехай???
96|86006|2020-07-03|Щас хай идёт, потом будут фиксить на выходные
97|86005|2020-07-03|Вполне возможно, что откатит все
98|86004|2020-07-03|Ещё не вечер, ребят
99|86003|2020-07-03|А чего ты не хвастаешься, тем, как не советовал покупать майл.ру, во как рванул, не догнать ) А ты опять сидишь радуешься росту сбера на 0,2% 🤓
0|97820|2020-07-03|Смешно
1|97817|2020-07-03|
2|97815|2020-07-03|"#investidea 
Инвестидея от ИК Церих на 3.07 🔥

Акции Телеграф, ао (#CNTL) – Покупка! Уровень цены 30-25 Р/шт. Цель 20-23 (без дивидендов). Срок 3 недели.

В последнее время рынки очень эмоциональны. 

Слухи об успешности лекарства от коронавируса и некоторые другие положительные новости развернули их вверх от намечавшегося снижения. Впереди еще данные об уровне безработицы в США, что также может дать новые толчки в динамике рынков. Сильные движения цен могут предоставить благоприятные возможности для краткосрочных спекулятивных сделок.

До средины июля наиболее очевидной игровой идеей на рынке могут быть покупки и продажи акций под дивидендные выплаты. Наиболее эмоциональные движения цен в последнее время происходят по акциям компании Телеграфа. Напомним, что компания приняла решение о выплате значительной части прибыли от продажи недвижимости в виде дивидендов. По обыкновенным и привилегированным акциям будет выплачено по 11,83 рубля на одну акцию. ⚠️ Это соответствует около 39% дивидендной доходности по обыкновенным акциям. Ожидаемые рекордные выплаты уже привели к сильному скачку цен, за которым последовал эмоциональный откат.

Напомним, что последним днем торговли акций с дивидендами станет пятница 5 июня. После выплат таких значительных дивидендов в будущем от компании трудно ожидать подобных «подвигов». А значит, цены акций не имеют шансов после выплат на закрытие пост дивидендного гепа. Однако уровни старта цены перед известием о выплатах дивидендов с очень большой вероятностью будут закрываться после даты отсечки. Происходящий эмоциональный откат цен после их взрывного роста может предоставить интересные возможности для краткосрочных покупок для получения дивидендов. Следует обращать повышенное внимание менеджменту ограничения рисков по подобной операции.

✔️Данный материал не имеет статуса персональной инвестиционной рекомендации АО ИК «ЦЕРИХ Кэпитал Менеджмент» (c)

👉👉 Открыть счёт в Церих брокер"
3|97813|2020-07-03|"#investidea 
Инвестидея от ИК Риком Траст

ПОКУПКА МЕЧЕЛ ПРЕФ.

Целевые показатели инвестиционной идеи

Тикер MTLRP
Рекомендация BUY
Дата выхода идеи 03.07.2020
Сроки, дней 2
Цена входа    82,35
Целевая цена  85,4
Доходность, % годовых 675
Абсолютная доходность сделки, % 3,7

Комментарий аналитика:

1. Акционеры Мечела на годовом собрании одобрили условия реструктуризации долга.
2. Положительное решение по дивидендам. Акционеры приняли решение выплачивать дивиденды по привилегированным акциям в размере 3.48 руб на бумагу. Дата дивидендной отсечки - 17 июля (т+2 - 15 июля).

Открыть счёт в Риком-Траст!"
4|97811|2020-07-03|"⛔️ #Предупреждение [⛔️ #StopWord] (1/5)
Найдены стоп слова: команд

Группа: Фондовый рынок Чат №1 [@fondrynok] [#chat1001141648503]
Пользователь: Павел Иванович [587219183] [#user587219183]
Время: 3 июля 2020 г. 5:41:08 UTC


Привет ещё средства на свою частную ракетную компанию мне нужно собрать команду оборудования и нужные материалы аренда помещения"
5|97810|2020-07-03|если Байден не обнулит себе сроки)
6|97809|2020-07-03|Хотя Путин пережлет два срока Байдена он аж до 2036г.
7|97808|2020-07-03|Все адаокат России уже почти проиграл выборы
8|97807|2020-07-03|Воооот и помер дед максим....
9|97806|2020-07-03|4 года байбеков закончились
10|97805|2020-07-03|Байден обложет богачей налогами и роздаст пособия  страховки нигерам
11|97804|2020-07-03|Трамп проигривает выборы по всем ключевым штатам
12|97803|2020-07-03|
13|97802|2020-07-03|А теперь правительство рекомендует не платить дивы. Странные дела.
14|97801|2020-07-03|Аэрофлот прокредитовал Питерский банк. Ждём, я вчера тоже задумался скинуть.
15|97800|2020-07-03|Оно по-моему непотоплеямо,
16|97799|2020-07-03|Аэрофлот снова летит? Ему рекомендуют не выплачивать дивы, интересно, на фоне этой новости будут избавляться?
17|97798|2020-07-03|Привет нуждаешься денежные средства построил собственную частную рлкетную компании
18|97796|2020-07-03|Привет
19|97794|2020-07-02|на шортистах, такое поведение и акции банкротов показывают перед смертью
20|97793|2020-07-02|где там хайтек? это фальшивая элитарность
21|97792|2020-07-02|Тесла это хайтек потому и растёт
22|97791|2020-07-02|Тесла это подозрительный пузырь
23|97790|2020-07-02|Успел продать слава богу
24|97789|2020-07-02|Я с 2-4 акций заработал почти 2000$ за март или май
25|97788|2020-07-02|Никто не может
26|97787|2020-07-02|Я не пойму на каких дрожжах растёт Тесла???
27|97784|2020-07-02|спасибо
28|97783|2020-07-02|https://youtu.be/S9d_1iNUNK4
29|97781|2020-07-02|"#goodresult 

Инвестидея экспертов БКС Экспресс в акциях Qiwi закрывается.
Итоговая доходность с учетом дивидендов составила 6,4%

https://bcs-express.ru/novosti-i-analitika/investideia-v-aktsiiakh-qiwi-zavershena

👉 Открыть счёт в БКС 🔥🔥🔥"
30|97779|2020-07-02|"#investidea 
Инвестидея дня от ИК Церих! 🔥

Акции Северсталь (#CHMF) – Покупка! Цель 910 Р/шт.

В последнее время, акции компании ожидаемо снизились, после дивидендной даты. 

Северсталь платит одни из высоких дивидендов на российском рынке, доходность около 13% ⚠️ Покупка таких акций выглядит хорошей инвестицией. Северсталь стремится приносить максимум выгоды акционерам, в связи с чем, дивидендной политикой предусмотрена ежегодная выплата дивидендов в размере 100% свободного денежного потока. Дивиденды начисляются ежеквартально.

В 1 квартале 2020 года выручка Северстали по МСФО снизилась на 12,5%, по сравнению с аналогичным периодом прошлого года – до 1,777 млн. долл. из-за снижения цен реализации стальной продукции и меньшими объемами продаж стальной продукции относительно аналогичного периода предыдущего года. Чистая прибыль Северстали в отчетном периоде, снизилась на 83.2% и составила 72 млн. долл. Снижение прибыли связано с убытками от курсовых разниц, главным образом состоящие из убытков от пересчета баланса задолженности, номинированной в долларах, в результате девальвации рубля. Показатель EBITDA по Северстали снизился на 16.3% по сравнению с аналогичным периодом предыдущего года и составил $555 млн. (1 кв. 2019: $663 млн.), что главным образом отражает снижение выручки, частично нивелированное снижением себестоимости продаж. Показатель рентабельности по EBITDA сохранился на высоком уровне 31.2% (1 кв. 2019: 32.6%). У компании низкая долговая нагрузка и Северсталь будет стремиться поддерживать комфортную долговую нагрузку с отношением чистого долга к EBITDA менее 1.5. По фундаментальным показателям акции Северстали смотрятся привлекательно, РЕ = 7,8. 

✔️Данный материал не имеет статуса персональной инвестиционной рекомендации АО ИК «ЦЕРИХ Кэпитал Менеджмент» (c) 

👉👉 Открыть счёт в Церих брокер"
